순번,시장명,시장유형코드,시장 유형,개장일,시군명,시장 주소,상가 수,대표 품목
181,벽진 시장,0,정기시장,"3일,8일",성주군,벽진면 수촌리 810-1,8,
182,용암 시장,0,정기시장,"3일,8일",성주군,용암면 상언리 618,4,
183,왜관 시장,1,상설시장,"1일,6일,상설",칠곡군,왜관읍 왜관리 211,67,"농산물, 생필품, 수산물, 잡화 등"
184,동명 시장,0,정기시장,"4일,9일",칠곡군,동명면 금암리 231-1,8,"농산물, 생필품, 수산물, 잡화 등"
185,약목 시장,0,정기시장,"3일,8일",칠곡군,약목면 복성리 949-1,15,"농산물, 생필품, 수산물, 잡화 등"
186,예천상설 시장,1,상설시장,"2일,7일,상설",예천군,예천읍 동본리 553,83,"농산물, 생필품, 수산물, 잡화 등"
187,예천중앙 시장,1,상설시장,"2일,7일,상설",예천군,예천읍 동본리 533,83,"농산물, 생필품, 수산물, 잡화 등"
188,용궁 시장,0,정기시장,"4일,9일",예천군,용궁면 읍부리 260,57,"식당, 농산물, 생필품, 잡화 등"
189,풍양 시장,0,정기시장,"3일,8일",예천군,풍양면 낙상리 157-7,76,"농산물, 생필품, 수산물, 잡화 등"
190,맛고을 시장,0,정기시장,"3일,8일",예천군,예천읍 남본리 222,90,"고추, 마늘, 농산물 등"
191,봉화상설 시장,1,상설시장,"2일,7일,상설",봉화군,봉화읍 내성리 394-1,136,
192,억지춘양 시장,1,상설시장,"4일,9일,상설",봉화군,춘양면 의양리 361-18,127,
193,울진 시장,0,정기시장,"2일,7일",울진군,울진읍 읍내리 60-1,150,"농산물, 생필품, 수산물, 잡화 등"
194,평해 시장,0,정기시장,"2일,7일",울진군,평해읍 평해리 871-1,23,"농산물, 생필품, 수산물, 잡화 등"
195,흥부 시장,0,정기시장,"1일,6일",울진군,북면 부구리 135,26,"농산물, 생필품, 수산물, 잡화 등"
196,매화 시장,0,정기시장,"4일,9일",울진군,원남면 매화리 1147,2,"농산물, 생필품, 수산물, 잡화 등"
197,척산 시장,0,정기시장,"1일,6일",울진군,기성면 척산리 211-6,0,"농산물, 생필품, 수산물, 잡화 등"
198,죽변 시장,0,정기시장,"3일,8일",울진군,죽변면 죽변리 36-8,52,"농산물, 생필품, 수산물, 잡화 등"
199,후포 시장,0,정기시장,"3일,8일",울진군,후포면 삼율리 126,89,"농산물, 생필품, 수산물, 잡화 등"
